step,disp,axial_strain,vol_strain,void_ratio,packing,sigma_yy,p_mean,escaped
1,0.00022,0.0005957246035415956,0.004730627788685606,0.46277389915474043,0.6836326520303972,376654.28125,352563.28125,0
2,0.00044,0.0011914492070831911,0.005698542317813915,0.4613513293968911,0.684298142331527,407164.25,424782.453125,0
3,0.00066,0.0017871738106247867,0.005384296930418022,0.4618131842107202,0.6840819407029306,279606.90625,287720.984375,0
4,0.00088,0.0023828984141663822,0.0049089745545163824,0.462511778163841,0.6837551771757239,208248.09375,228412.5546875,0
5,0.0011,0.002978623017707978,0.004062432666025829,0.4637559633197389,0.6831739887378773,217874.53125,213890.1640625,0
6,0.00132,0.0035743476212495733,0.004488850906138685,0.4631292450772447,0.6834666201667002,270162.375,254343.796875,0
7,0.0015400000000000001,0.0041700722247911695,0.003162790247256341,0.46507819173899045,0.682557426380799,310896.125,278773.125,0
8,0.00176,0.0047657968283327645,0.0028971261960733046,0.46546864526932547,0.6823755685446404,412282.15625,355637.28125,0
9,0.00198,0.00536152143187436,0.0033316144255902645,0.46483006634851004,0.6826730437700352,482052.71875,403565.875,0
10,0.0022,0.005957246035415956,0.0024794235445168107,0.46608255397923287,0.6820898299934105,564935.4375,503991.265625,0
11,0.0024200000000000003,0.006552970638957552,0.002415186428860176,0.46617696497866984,0.6820459084313524,640684.6875,543998.609375,0
12,0.00264,0.007148695242499147,0.001657575823602863,0.4672904454594677,0.6815283252845415,746973.625,670947.25,0
13,0.00286,0.0077444198460407425,6.924050908714178e-05,0.46962486416665367,0.6804457548199193,809537.75,716487.625,0
14,0.0030800000000000003,0.008340144449582339,0.0007969921535492433,0.46855526819564447,0.6809413453186957,949644.875,866053.1875,0
15,0.0033,0.008935869053123933,0.0006568971374939779,0.46876116957130115,0.6808458861231181,1091550.5,980466.90625,0
16,0.00352,0.009531593656665529,0.000554892471426126,0.4689110885452816,0.6807763981074838,1076153.5,1013120.59375,0
17,0.0037400000000000003,0.010127318260207125,0.0009748547200157257,0.46829385884544433,0.6810625774777296,1237509.5,1160463.75,0
18,0.00396,0.01072304286374872,0.0008302405098941138,0.468506402200961,0.6809640043116085,1307207.25,1222654.125,0
19,0.0041800000000000006,0.011318767467290316,0.0024229336186880833,0.46616557872748154,0.6820512052042054,1349471.25,1281614.8125,0
20,0.0044,0.011914492070831912,0.0014592154840500585,0.4675819809326036,0.681392939537545,1386194.75,1315527.9375,0
21,0.00462,0.012510216674373506,0.0020804432683779617,0.4666689459154348,0.6818171222517028,1435080.125,1327484.25,0
22,0.0048400000000000006,0.013105941277915104,0.002399046450051968,0.46620068633531236,0.6820348737521361,1500455.875,1452831.9375,0
23,0.00506,0.013701665881456698,0.0030606241814003904,0.4652283479265373,0.6824874780883896,1546824.75,1471196.5625,0
24,0.00528,0.014297390484998293,0.005008719623551128,0.46236518017979045,0.6838237217033949,1561937.25,1569757.3125,0
25,0.0055000000000000005,0.014893115088539891,0.004758388552235809,0.46273309842131527,0.6836517209320487,1567901.75,1562994.3125,0
26,0.00572,0.015488839692081485,0.005240005519872741,0.4620252531391038,0.6839827136042331,1512475.25,1566783.8125,0
27,0.00594,0.01608456429562308,0.00876384709306875,0.4568461693433522,0.6864142701152397,1503839.0,1516042.875,0
28,0.0061600000000000005,0.016680288899164678,0.008295464908054526,0.45753456311311685,0.6860900765633451,1547092.125,1526383.875,0
29,0.00638,0.017276013502706272,0.010078448366997197,0.45491406484482266,0.6873258181792733,1425646.875,1426786.25,0
30,0.0066,0.017871738106247866,0.011109793012841785,0.4533982701553684,0.6880426518555716,1548136.25,1515675.0625,0
31,0.0068200000000000005,0.018467462709789464,0.012677307754694852,0.45109445199825127,0.6891350171058369,1473112.625,1438732.0,0
32,0.00704,0.019063187313331058,0.012875668094247792,0.45080291652511517,0.6892734971853696,1389367.375,1351675.8125,0
33,0.00726,0.019658911916872652,0.015299247312088267,0.4472409176116811,0.6909699607237865,1337362.625,1406078.125,0
34,0.0074800000000000005,0.02025463652041425,0.016046851130484433,0.44614214437200167,0.6914949570425926,1297873.75,1358439.6875,0
35,0.0077,0.020850361123955843,0.018006405957588935,0.44326213446203877,0.6928748258006089,1322365.25,1355707.25,0
36,0.00792,0.02144608572749744,0.01935054339273653,0.4412866198808534,0.6938245219279611,1326412.25,1347148.875,0
37,0.00814,0.022041810331039035,0.018849074251165533,0.44202364243173503,0.6934699061616388,1353727.75,1315391.5625,0
38,0.008360000000000001,0.022637534934580632,0.020016317518575102,0.44030811391935126,0.6942958873423344,1407133.875,1416546.1875,0
39,0.00858,0.02323325953812223,0.020761500340150063,0.43921289888316817,0.6948242339795605,1364865.875,1315593.0625,0
40,0.0088,0.023828984141663824,0.020499387084304783,0.4395981337150419,0.6946382998006462,1421026.125,1412399.4375,0
41,0.00902,0.024424708745205418,0.022610334912630217,0.4364956174797727,0.6961385665446216,1418390.75,1401202.5,0
42,0.00924,0.025020433348747012,0.02036736205765362,0.4397921744123774,0.6945446834423379,1428318.0,1452637.0625,0
43,0.00946,0.025616157952288606,0.02240858517752762,0.4367921344378036,0.6959949014415268,1391593.25,1422713.9375,0
44,0.009680000000000001,0.026211882555830207,0.022245248591988495,0.4370321945670256,0.6958786336038196,1484518.0,1490448.6875,0
45,0.0099,0.0268076071593718,0.024958540429436356,0.433044397301859,0.6978150864570585,1501871.625,1487637.6875,0
46,0.01012,0.027403331762913395,0.02519821911473827,0.4326921351557182,0.6979866612385017,1566524.25,1555124.3125,0
47,0.01034,0.027999056366454993,0.026237795149774923,0.4311642425743764,0.6987318228418014,1423744.5,1424006.375,0
48,0.01056,0.028594780969996587,0.02658335209605864,0.430656368328661,0.6989798683580686,1410659.875,1444707.4375,0
49,0.01078,0.02919050557353818,0.02607268316656699,0.4314069120528289,0.6986133653398853,1332597.75,1343438.3125,0
50,0.011000000000000001,0.029786230177079782,0.027861961217244817,0.42877716245544417,0.6998992049127077,1383432.625,1368039.75,0
51,0.01122,0.030381954780621376,0.02724864202253292,0.42967857400785825,0.6994579188500194,1349470.125,1368081.5,0
52,0.01144,0.03097767938416297,0.02776964053846192,0.4289128486154391,0.6998327441515843,1280380.625,1289666.125,0
53,0.01166,0.031573403987704564,0.02931988550299036,0.4266344123099292,0.7009504266624651,1373563.0,1345693.3125,0
54,0.01188,0.03216912859124616,0.028437351461757535,0.4279314960911398,0.7003137074414483,1222815.875,1232958.5,0
55,0.0121,0.03276485319478775,0.03006135612943933,0.42554465318577406,0.7014862689605852,1295674.75,1297297.5,0
56,0.012320000000000001,0.033360577798329356,0.02966237585330048,0.42613104512197597,0.701197834112412,1358141.875,1315192.5,0
57,0.01254,0.03395630240187095,0.031137408516582553,0.4239631503384202,0.7022653639332866,1295049.625,1296757.125,0
58,0.01276,0.034552027005412544,0.03293879155136667,0.4213156097235535,0.7035735013101703,1303842.625,1295786.5,0
59,0.01298,0.035147751608954135,0.03380905920870524,0.4200365541733912,0.7042072241457924,1316675.5,1332506.3125,0
60,0.0132,0.03574347621249573,0.034519379676054486,0.41899257726755584,0.7047253213442615,1276158.875,1296143.4375,0
61,0.01342,0.03633920081603733,0.03529926345206706,0.41784636131459146,0.7052950356855486,1312831.125,1324299.9375,0
62,0.013640000000000001,0.03693492541957893,0.035518928563646815,0.4175235136506873,0.7054556699554153,1249037.5,1249013.5625,0
63,0.01386,0.037530650023120525,0.035185638001257215,0.4180133596653546,0.7052119736276645,1237316.375,1204916.8125,0
64,0.01408,0.038126374626662116,0.03699154023010768,0.4153591770706279,0.7065344374773492,1175276.875,1202946.625,0
65,0.0143,0.03872209923020371,0.03721766133321069,0.4150268408640668,0.7067003756546156,1151702.625,1160143.6875,0
66,0.01452,0.039317823833745304,0.03748009738863203,0.41464113160506033,0.7068930611860508,1349107.875,1311225.6875,0
67,0.014740000000000001,0.03991354843728691,0.03872319855644023,0.41281411271645685,0.7078071991206771,1232348.5,1215405.3125,0
68,0.014960000000000001,0.0405092730408285,0.03750995634942724,0.4145972470952717,0.706914990859339,1347278.0,1367358.4375,0
69,0.01518,0.041104997644370096,0.03823819219325364,0.4135269394835631,0.7074502593953769,1267167.375,1229187.4375,0
70,0.0154,0.04170072224791169,0.038696244791830516,0.4128537273820498,0.7077873530849879,1374714.25,1397487.9375,0
71,0.01562,0.042296446851453284,0.038520319022821076,0.4131122901694527,0.7076578464122518,1314275.25,1301851.875,0
72,0.01584,0.04289217145499488,0.04058478371217893,0.41007809144131374,0.7091805808980751,1340344.625,1382154.8125,0
73,0.01606,0.04348789605853648,0.0410407381135108,0.4094079631161638,0.7095177735401937,1381382.125,1351983.3125,0
74,0.01628,0.04408362066207807,0.04246024924969273,0.407321669799458,0.7105696028559689,1490289.875,1486950.375,0
75,0.0165,0.04467934526561967,0.041552214041942946,0.4086562333241637,0.709896407898035,1393936.625,1366597.8125,0
76,0.016720000000000002,0.045275069869161265,0.04344252835996017,0.4058779880341971,0.7112992795329801,1451642.375,1476660.8125,0
77,0.01694,0.045870794472702855,0.04397514766063103,0.40509518326499544,0.7116955576463633,1369502.5,1317705.75,0
78,0.01716,0.04646651907624446,0.04473517926270955,0.40397814458070125,0.7122617997010562,1387166.375,1395344.25,0
79,0.01738,0.04706224367978605,0.044336521786146894,0.40456406208977025,0.7119646778603729,1338844.75,1314164.5,0
80,0.0176,0.04765796828332765,0.04546874129954265,0.4029000089213007,0.7128091764493656,1275838.875,1289243.875,0
81,0.01782,0.04825369288686924,0.04691569039969845,0.4007733892983028,0.7138913457664523,1287589.875,1275723.0,0
82,0.01804,0.048849417490410836,0.04707741298735672,0.40053570130474514,0.7140125018365442,1353885.375,1329969.875,0
83,0.018260000000000002,0.049445142093952434,0.04703625604139571,0.40059619076418357,0.7139816648040339,1282960.625,1292586.8125,0
84,0.01848,0.050040866697494024,0.047538209382331005,0.39985845657260255,0.7143579376220568,1382173.75,1383667.125,0
85,0.0187,0.05063659130103563,0.04821011670011677,0.3988709364955762,0.7148622320406343,1410870.0,1400804.875,0
86,0.01892,0.05123231590457721,0.049418678313275316,0.39709468131018777,0.7157711022578696,1352619.0,1338067.5,0
87,0.01914,0.05182804050811882,0.04890494278781006,0.3978497320921177,0.7153844773453091,1360406.125,1353451.25,0
88,0.019360000000000002,0.052423765111660414,0.04905213939454098,0.3976333933195383,0.715495211247698,1331947.875,1348004.5625,0
89,0.01958,0.053019489715202005,0.04872595042282703,0.3981128019372828,0.7152498701208935,1388429.0,1363377.1875,0
90,0.0198,0.0536152143187436,0.050442598568868055,0.3955897984447891,0.7165429276671236,1395489.5,1423720.1875,0
91,0.02002,0.05421093892228519,0.05111789528220348,0.3945972968828679,0.7170528741416239,1412084.375,1411771.8125,0
92,0.02024,0.05480666352582679,0.05184064353323494,0.393535054532418,0.7175994581173536,1430564.875,1442916.0625,0
93,0.02046,0.05540238812936838,0.05195991797662769,0.39335975370682996,0.7176897404562219,1399351.375,1389935.5625,0
94,0.02068,0.055998112732909985,0.05385152349294957,0.39057961070833197,0.7191245954560064,1440459.75,1411898.6875,0
95,0.020900000000000002,0.05659383733645158,0.05399597630328308,0.39036730456638175,0.7192344042582857,1437586.375,1408015.0625,0
